Reference Designator,X,Y,Rotation,Side,Value
S4,89.281,97.236,180,Top,KMR741NG ULC LFS
S3,72.009,117.58,180,Top,EVQ-PUC02K
S2,73.039,65.151,0,Top,EVQ-PUC02K
S1,60.3596,65.151,0,Top,EVQ-PUC02K
R36,85.979,97.998,90,Top,1 kOhms
C40,50.8,80.899,0,Top,4.7 µF
C39,50.8,91.821,0,Top,4.7 µF
C38,51.054,102.743,0,Top,4.7 µF
C9,75.438,98.933,270,Top,0.1 µF
C8,83.312,93.726,180,Top,0.1 µF
R17,65.405,115.316,270,Top,10 kOhms
R16,61.595,115.951,270,Top,9.09 kOhms
R2,81.661,93.091,0,Top,27 Ohms
R1,81.661,92.202,0,Top,27 Ohms
R35,75.43,84.963,90,Top,10 kOhms
R34,75.43,80.899,90,Top,10 kOhms
R33,79.367,69.289,90,Top,10 kOhms
R32,78.478,69.289,90,Top,10 kOhms
R31,77.589,69.289,90,Top,10 kOhms
R30,76.446,70.559,180,Top,47 kOhms
R29,80.51,70.559,180,Top,47 kOhms
R28,75.43,76.835,90,Top,10 kOhms
R27,76.446,71.448,180,Top,47 kOhms
R26,80.51,71.448,180,Top,47 kOhms
R25,76.446,72.337,180,Top,47 kOhms
R24,80.51,72.337,180,Top,47 kOhms
R23,40.513,75.184,270,Top,10 Ohms
R22,55.499,70.231,180,Top,10 Ohms
R21,40.513,86.106,270,Top,10 Ohms
R20,40.513,97.028,270,Top,10 Ohms
R19,55.499,81.153,180,Top,10 Ohms
R18,55.753,92.075,180,Top,10 Ohms
R15,60.706,115.951,270,Top,38.3 kOhms
R14,66.294,115.316,90,Top,115 kOhms
R13,59.817,115.951,270,Top,309 kOhms
R12,60.452,117.475,180,Top,10 kOhms
R11,58.674,116.205,270,Top,68 kOhms
R10,85.979,93.853,0,Top,5.1 kOhms
R9,85.852,82.169,0,Top,5.1 kOhms
R8,78.613,108.966,180,Top,10 kOhms
R7,82.55,66.548,180,Top,5.6 Ohms
R6,76.962,108.966,180,Top,5.6 kOhms
R5,82.55,64.77,180,Top,27 Ohms
R4,82.55,65.659,180,Top,75 Ohms
R3,68.199,97.409,90,Top,1 kOhms
C15,66.548,112.522,0,Top,0.1 µF
Y1,65.786,99.06,90,Top,12MHz
U9,78.224,84.074,180,Top,LMV321IDBVR
U8,78.224,80.01,180,Top,LMV321IDBVR
U7,78.224,75.946,180,Top,LMV321IDBVR
U6,68.199,77.724,180,Top,2ED2732S01G
U5,68.239,82.804,180,Top,2ED2732S01G
U4,68.239,87.757,180,Top,2ED2732S01G
U3,78.105,113.919,0,Top,AP63203WU-7
U2,63.246,113.411,0,Top,TPS62932DRLR
U1,76.454,93.726,270,Top,RP2040
Q6,46.937,76.454,270,Top,BSC027N06LS5ATMA1
Q5,56.06,76.454,270,Top,BSC027N06LS5ATMA1
Q4,46.937,87.376,270,Top,BSC027N06LS5ATMA1
Q3,46.916,98.298,270,Top,BSC027N06LS5ATMA1
Q2,56.007,87.376,270,Top,BSC027N06LS5ATMA1
Q1,56.208,98.298,270,Top,BSC027N06LS5ATMA1
P3,89.2765,74.549,90,Top,SM03B-SRSS-TB(LF)(SN)
P2,89.2765,103.505,90,Top,SM03B-SRSS-TB(LF)(SN)
P1,42.95,66.2615,0,Top,SM04B-SRSS-TB(LF)(SN)
L2,82.169,113.919,0,Top,3.9 µH
L1,67.564,108.331,270,Top,8.2 µH
J2,88.2273,88.017,90,Top,DX07S016JA1R1500
IC1,79.121,104.013,0,Top,W25Q128JVSIM
D9,42.418,76.073,90,Top,1N5819HW1-7-F
D8,56.388,72.136,0,Top,1N5819HW1-7-F
D7,42.418,86.995,90,Top,1N5819HW1-7-F
D6,42.418,97.917,90,Top,1N5819HW1-7-F
D5,56.388,83.058,0,Top,1N5819HW1-7-F
D4,56.642,93.98,0,Top,1N5819HW1-7-F
D3,75.057,109.7915,270,Top,RB160VAM-60TR
D2,72.898,109.7915,270,Top,RB160VAM-60TR
D1,80.264,65.659,180,Top,19-337C/RSBHGHC-A88/4T
C37,81.526,83.439,270,Top,1000 pF
C36,75.43,83.312,270,Top,1000 pF
C35,81.526,79.375,270,Top,1000 pF
C34,75.43,79.248,270,Top,1000 pF
C33,80.764,69.289,90,Top,1000 pF
C32,81.526,75.311,270,Top,1000 pF
C31,75.43,75.184,270,Top,1000 pF
C30,65.278,79.756,270,Top,1 µF
C29,64.389,76.581,0,Top,0.22 µF
C28,65.278,84.709,270,Top,1 µF
C27,65.278,89.662,270,Top,1 µF
C26,64.429,81.661,0,Top,0.22 µF
C25,64.429,86.614,0,Top,0.22 µF
C24,82.169,110.744,0,Top,22 µF
C23,82.169,108.712,0,Top,22 µF
C22,77.724,110.998,180,Top,10 µF
C21,53.34,111.76,270,Top,220 µF
C20,43.688,111.76,270,Top,220 µF
C19,79.502,116.205,0,Top,0.1 µF
C18,66.04,113.792,180,Top,0.033 µF
C17,61.849,106.934,0,Top,47 µF
C16,59.817,112.268,90,Top,10 µF
C14,66.858,96.139,0,Top,15 pF
C13,66.675,101.981,180,Top,15 pF
C12,70.993,92.583,0,Top,0.1 µF
C11,83.312,94.615,180,Top,0.1 µF
C10,81.661,91.313,180,Top,1 µF
C7,79.756,98.933,270,Top,0.1 µF
C6,70.993,93.472,0,Top,0.1 µF
C5,75.692,88.067,90,Top,0.1 µF
C4,80.01,88.519,90,Top,0.1 µF
C3,81.661,89.535,180,Top,0.1 µF
C2,81.661,90.424,180,Top,1 µF
C1,84.709,106.299,180,Top,0.1 µF
