Name,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1

"0.1 µF","C1, C3, C4, C5, C6, C7, C8, C9, C11, C12","10","Wurth Electronics","885012104003"
"1 µF","C2, C10","2","Wurth Electronics","885012104011"
"15 pF","C13, C14","2","Wurth Electronics","885012004006"
"0.1 µF","C15","1","Wurth Electronics","885012205085"
"10 µF","C16","1","Wurth Electronics","885012108022"
"47 µF","C17","1","Wurth Electronics","885012109011"
"0.033 µF","C18","1","Wurth Electronics","885012205015"
"0.1 µF","C19","1","Wurth Electronics","885012104001"
"220 µF","C20, C21","2","Wurth Electronics","865080553014"
"10 µF","C22","1","Wurth Electronics","885012106031"
"22 µF","C23, C24","2","Murata","GRM188R60J226MEA0D"
"0.22 µF","C25, C26, C29","3","Wurth Electronics","885012206073"
"1 µF","C27, C28, C30","3","Murata","GRM155R61E105KA12D"
"1000 pF","C31, C32, C33, C34, C35, C36, C37","7","Wurth Electronics","885012204006"
"4.7 µF","C38, C39, C40","3","Wurth Electronics","885012208094"
"19-337C/RSBHGHC-A88/4T","D1","1","Everlight","19-337C/RSBHGHC-A88/4T"
"RB160VAM-60TR","D2, D3","2","Rohm","RB160VAM-60TR"
"1N5819HW1-7-F","D4, D5, D6, D7, D8, D9","6","Diodes","1N5819HW1-7-F"
"W25Q128JVSIM","IC1","1","Winbond","W25Q128JVSIM"
"DX07S016JA1R1500","J2","1","JAE Electronics","DX07S016JA1R1500"
"8.2uH","L1","1","Bourns","SRP5020TA-8R2M"
"3.9uH","L2","1","Bourns","SDR0302-3R9ML"
"SM04B-SRSS-TB(LF)(SN)","P1","1","JST","SM04B-SRSS-TB"
"SM03B-SRSS-TB(LF)(SN)","P2, P3","2","JST","SM03B-SRSS-TB"
"BSC027N06LS5ATMA1","Q1, Q2, Q3, Q4, Q5, Q6","6","Infineon","BSC027N06LS5ATMA1"
"27 Ohms","R1, R2, R5","3","Yageo","RC0201FR-0727RL"
"1 kOhms","R3","1","Yageo","RC0201FR-131KL"
"75 Ohms","R4","1","Yageo","RC0201FR0775RL"
"5.6 kOhms","R6","1","Yageo","RC0201FR-135K6L"
"5.6 Ohms","R7","1","Yageo","RC0201FR-075R6L"
"10 kOhms","R8","1","Yageo","RC0201FR-1310KL"
"5.1 kOhms","R9, R10","2","Yageo","RC0201FR075K1L"
"68 kOhms","R11","1","Yageo","RC0402FR-0768KL"
"10 kOhms","R12","1","Yageo","RC0402FR-0710KL"
"309 kOhms","R13","1","Yageo","RC0201FR-07309KL"
"115 kOhms","R14","1","Yageo","RC0201FR-07115KL"
"38.3 kOhms","R15","1","Yageo","RC0201FR-0738K3L"
"9.09 kOhms","R16","1","Yageo","RC0201FR-079K09L"
"10 kOhms","R17","1","Yageo","RC0201FR-0710KP"
"10 Ohms","R18, R19, R20, R21, R22, R23","6","Yageo","RC0603JR-0710RL"
"47 kOhms","R24, R25, R26, R27, R29, R30","6","Yageo","RC0201FR-0747KL"
"10 kOhms","R28, R31, R32, R33, R34, R35","6","Yageo","RC0201FR-0710KL"
"1 kOhms","R36","1","Yageo","RC0201JR-071KP"
"EVQ-PUC02K","S1, S2, S3","3","Panasonic","EVQ-PUC02K"
"KMR741NG ULC LFS","S4","1","ITT C&K","KMR741NGULCLFS"
"RP2040","U1","1","Raspberry Pi","SC0914(7)"
"TPS62932DRLR","U2","1","Texas Instruments","TPS62932DRLR"
"AP63203WU-7","U3","1","Diodes","AP63203WU-7"
"2ED2732S01G","U4, U5, U6","3","Infineon","2ED2732S01GXTMA1"
"LMV321IDBVR","U7, U8, U9","3","Texas Instruments","LMV321IDBVR"
"12MHz","Y1","1","Abracon","ABM8G-12.000MHZ-B4Y-T"
